郵便番号,住所,建物,種類
7610113,香川県 高松市 屋島西町２４５４ - ４,ダイアパレス屋島五番館,マンションV16
7610113,香川県 高松市 屋島西町２４５４ - １５,サーパス屋島,マンションG16
7610113,香川県 高松市 屋島西町２４７５ - １,屋島第一 ３号棟,マンション都市機構DX
7610113,香川県 高松市 屋島西町２４７５ - １,屋島第一 ４号棟,マンション都市機構DX
7610113,香川県 高松市 屋島西町２４７５ - １,屋島第一 ５号棟,マンション都市機構DX
7610113,香川県 高松市 屋島西町２４７５ - １,屋島第一 ６号棟,マンション都市機構DX
7610113,香川県 高松市 屋島西町２４７５ - １,屋島第一 ７号棟,マンション都市機構DX
7610113,香川県 高松市 屋島西町２４７５ - ２,屋島第一団地 一号棟,マンションV8
7610113,香川県 高松市 屋島西町２４７５ - ２,屋島第一団地 二号棟,マンションV8
7610113,香川県 高松市 屋島西町２４８３ - １,ダイアパレス屋島第４,マンションV16
7610113,香川県 高松市 屋島西町２４８７ - ４,アルファステイツ屋島３,マンションV16
7610113,香川県 高松市 屋島西町２４９７ - １,ファミール屋島西町,マンションV16
7610441,該当なし
7600073,香川県 高松市 栗林町１ - １ - １２,ダイアパレスロワイアル栗林公園,マンションV16
7600073,香川県 高松市 栗林町１ - ５ - １２,グレース栗林,マンションV16
7600073,香川県 高松市 栗林町１ - ９ - １９,ロイヤルガーデン栗林公園前,マンションV16
7600073,香川県 高松市 栗林町１ - １３ - １１,ダイアパレス栗林公園南,マンションV16
7600073,香川県 高松市 栗林町１ - １３ - ２４,栗林ハイツセンコー,マンションV16
7600073,香川県 高松市 栗林町１ - １５ - ３２,ダイアパレスパークサイド栗林第２,マンションV16
7600073,香川県 高松市 栗林町１ - １７ - ２７,ダイアパレスパークサイド栗林,マンションV16
7600073,香川県 高松市 栗林町２ - ３ - １,ダイアパレス栗林第２,マンションV16
7600073,香川県 高松市 栗林町２ - ６ - ２３,ディアコート栗林,マンションV16
7600073,香川県 高松市 栗林町２ - １０ - ４４,サンハウス栗林,マンションV16
7600073,香川県 高松市 栗林町２ - １３ - ２１,セントラルハイツ栗林,マンションV16
7600073,香川県 高松市 栗林町２ - １４ - １５,サーパスシティ栗林,マンションV16
7600073,香川県 高松市 栗林町２ - １９ - １５,ダイアパレス栗林公園駅前,マンションV16
7600073,香川県 高松市 栗林町３ - ３ - ７,アルファガーデン栗林公園,マンションV16
7610303,該当なし
7630000,該当なし
7612401,該当なし
7612402,該当なし
7612404,該当なし
7612403,該当なし
7612406,該当なし
7612405,該当なし
7612408,該当なし
7612407,該当なし
7630084,香川県 丸亀市 飯野町東二１２３１ - １,リバーサイドマンション ２号棟,マンションV16
7630085,該当なし
7630086,該当なし
7630025,該当なし
7630051,香川県 丸亀市 今津町７４７ - ５,サーパス城坤,マンションV16
7630006,該当なし
7630231,該当なし
7630034,香川県 丸亀市 大手町３ - ５ - １１,ロイヤルガーデン大手町,マンションG16
7630053,該当なし
7630003,該当なし
7630092,該当なし
7630091,該当なし
7630002,該当なし
7630015,該当なし
7630073,該当なし
7630029,該当なし
